"Title","LFS: Total actual weekly hours worked (millions): UK: All: SA"
"CDID","YBUS"
"Source dataset ID","LMS"
"PreUnit",""
"Unit",""
"Release date","16-01-2024"
"Next release","13 February 2024"
"Important notes",
"1971","862.5"
"1972","875.1"
"1973","893.1"
"1974","888.2"
"1975","869.8"
"1976","861.3"
"1977","866.8"
"1978","872.0"
"1979","879.6"
"1980","861.3"
"1981","821.8"
"1982","803.9"
"1983","795.3"
"1984","815.3"
"1985","826.7"
"1986","829.4"
"1987","848.2"
"1988","879.7"
"1989","904.6"
"1990","902.2"
"1991","865.7"
"1992","842.0"
"1993","832.2"
"1994","843.9"
"1995","855.3"
"1996","863.0"
"1997","878.0"
"1998","884.8"
"1999","892.7"
"2000","894.8"
"2001","903.8"
"2002","902.0"
"2003","906.0"
"2004","914.5"
"2005","926.4"
"2006","932.4"
"2007","941.1"
"2008","946.1"
"2009","918.6"
"2010","923.6"
"2011","926.4"
"2012","945.2"
"2013","962.5"
"2014","989.1"
"2015","1004.4"
"2016","1018.1"
"2017","1028.9"
"2018","1037.6"
"2019","1052.1"
"2020","941.3"
"2021","1003.7"
"2022","1040.3"
"1971 Q1","864.3"
"1971 Q2","862.8"
"1971 Q3","861.3"
"1971 Q4","861.7"
"1972 Q1","868.7"
"1972 Q2","873.1"
"1972 Q3","876.7"
"1972 Q4","881.9"
"1973 Q1","890.6"
"1973 Q2","894.2"
"1973 Q3","893.7"
"1973 Q4","893.9"
"1974 Q1","891.6"
"1974 Q2","889.6"
"1974 Q3","888.1"
"1974 Q4","883.5"
"1975 Q1","876.9"
"1975 Q2","871.4"
"1975 Q3","867.4"
"1975 Q4","863.6"
"1976 Q1","860.8"
"1976 Q2","860.1"
"1976 Q3","861.0"
"1976 Q4","863.4"
"1977 Q1","865.6"
"1977 Q2","866.7"
"1977 Q3","867.3"
"1977 Q4","867.8"
"1978 Q1","869.0"
"1978 Q2","870.2"
"1978 Q3","872.0"
"1978 Q4","876.6"
"1979 Q1","878.6"
"1979 Q2","879.6"
"1979 Q3","880.6"
"1979 Q4","879.8"
"1980 Q1","875.1"
"1980 Q2","868.2"
"1980 Q3","857.4"
"1980 Q4","844.6"
"1981 Q1","832.8"
