"Title","LFS: Economic Activity: UK: People: Aged 15-74: Thousands: NSA"
"CDID","J5RV"
"Source dataset ID","LMS"
"PreUnit",""
"Unit",""
"Release date","16-01-2024"
"Next release","13 February 2024"
"Important notes",
"2001 Q1","28945"
"2001 Q2","29015"
"2001 Q3","29345"
"2001 Q4","29281"
"2002 Q1","29151"
"2002 Q2","29289"
"2002 Q3","29635"
"2002 Q4","29589"
"2003 Q1","29466"
"2003 Q2","29520"
"2003 Q3","29871"
"2003 Q4","29721"
"2004 Q1","29741"
"2004 Q2","29744"
"2004 Q3","30039"
"2004 Q4","30057"
"2005 Q1","30051"
"2005 Q2","30065"
"2005 Q3","30475"
"2005 Q4","30402"
"2006 Q1","30496"
"2006 Q2","30617"
"2006 Q3","30989"
"2006 Q4","30869"
"2007 Q1","30733"
"2007 Q2","30794"
"2007 Q3","31183"
"2007 Q4","31134"
"2008 Q1","31133"
"2008 Q2","31213"
"2008 Q3","31535"
"2008 Q4","31488"
"2009 Q1","31440"
"2009 Q2","31347"
"2009 Q3","31661"
"2009 Q4","31516"
"2010 Q1","31371"
"2010 Q2","31484"
"2010 Q3","31947"
"2010 Q4","31756"
"2011 Q1","31705"
"2011 Q2","31767"
"2011 Q3","32039"
"2011 Q4","31959"
"2012 Q1","31867"
"2012 Q2","32012"
"2012 Q3","32379"
"2012 Q4","32351"
"2013 Q1","32179"
"2013 Q2","32223"
"2013 Q3","32655"
"2013 Q4","32561"
"2014 Q1","32497"
"2014 Q2","32531"
"2014 Q3","32829"
"2014 Q4","32703"
"2015 Q1","32707"
"2015 Q2","32736"
"2015 Q3","33117"
"2015 Q4","33103"
"2016 Q1","33045"
"2016 Q2","33139"
"2016 Q3","33431"
"2016 Q4","33325"
"2017 Q1","33272"
"2017 Q2","33345"
"2017 Q3","33497"
"2017 Q4","33498"
"2018 Q1","33537"
"2018 Q2","33484"
"2018 Q3","33787"
"2018 Q4","33820"
"2019 Q1","33777"
"2019 Q2","33832"
"2019 Q3","34019"
"2019 Q4","34105"
"2020 Q1","34067"
"2020 Q2","33695"
"2020 Q3","33892"
"2020 Q4","33801"
"2021 Q1","33619"
"2021 Q2","33619"
"2021 Q3","33919"
"2021 Q4","33841"
"2022 Q1","33735"
"2022 Q2","33694"
"2022 Q3","33849"
"2022 Q4","33979"
"2023 Q1","34058"
"2023 Q2","34073"
