"Title","Fuel and Energy"
"CDID","GBZI"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","17-01-2024"
"Next release","14 February 2024"
"Important notes",
"2009","76.0"
"2010","92.5"
"2011","118.8"
"2012","143.3"
"2013","154.6"
"2014","121.0"
"2015","100.0"
"2016","92.9"
"2017","100.6"
"2018","111.7"
"2019","115.8"
"2020","109.2"
"2021","130.3"
"2022","192.9"
"2023","218.9"
"2009 Q1","68.5"
"2009 Q2","73.1"
"2009 Q3","78.4"
"2009 Q4","83.9"
"2010 Q1","88.6"
"2010 Q2","93.8"
"2010 Q3","90.3"
"2010 Q4","97.3"
"2011 Q1","111.8"
"2011 Q2","121.8"
"2011 Q3","120.0"
"2011 Q4","121.7"
"2012 Q1","146.1"
"2012 Q2","142.4"
"2012 Q3","139.5"
"2012 Q4","145.2"
"2013 Q1","149.1"
"2013 Q2","153.1"
"2013 Q3","161.3"
"2013 Q4","154.8"
"2014 Q1","125.4"
"2014 Q2","121.9"
"2014 Q3","119.2"
"2014 Q4","117.4"
"2015 Q1","110.1"
"2015 Q2","101.0"
"2015 Q3","94.4"
"2015 Q4","94.6"
"2016 Q1","90.4"
"2016 Q2","89.7"
"2016 Q3","92.9"
"2016 Q4","98.5"
"2017 Q1","100.1"
"2017 Q2","97.5"
"2017 Q3","99.0"
"2017 Q4","105.6"
"2018 Q1","106.5"
"2018 Q2","109.6"
"2018 Q3","113.6"
"2018 Q4","116.9"
"2019 Q1","114.8"
"2019 Q2","115.4"
"2019 Q3","114.6"
"2019 Q4","118.5"
"2020 Q1","115.9"
"2020 Q2","102.5"
"2020 Q3","105.5"
"2020 Q4","112.8"
"2021 Q1","120.1"
"2021 Q2","121.2"
"2021 Q3","132.2"
"2021 Q4","147.8"
"2022 Q1","159.0"
"2022 Q2","192.4"
"2022 Q3","201.9"
"2022 Q4","218.3"
"2023 Q1","215.1"
"2023 Q2","220.1"
"2023 Q3","218.4"
"2023 Q4","222.0"
"2008 DEC","68.9"
"2009 JAN","67.9"
"2009 FEB","68.2"
"2009 MAR","69.4"
"2009 APR","69.3"
"2009 MAY","72.7"
